,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
226,Lemuridae Varecia,Red Ruffed Lemur,Madagascar,Madagascar,3.51,4,24.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2007118542405295,1.2556160374777743,0,0,1,0,0,1,0,0,0
227,Lorisidae Loris,Red Slender Loris,South East Asia,Sri Lanka,0.19,3,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,-1.6607312068216509,0,0,0,1,0,0,0,1,0
228,Lemuridae Eulemur,Red bellied Lemur,Madagascar,Madagascar,2.015,2,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9444389791664403,0.7006191953986464,0,0,0,0,0,1,0,0,0
229,Callitrichidae Saguinus,Red bellied Tamarin,South America,Bolivia,0.51,0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4011973816621555,-0.6733445532637656,0,0,1,0,0,0,0,0,1
230,Pitheciidae Plecturocebus,Red bellied Titi,South America,Paraguay,0.99,0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4350845252893227,-0.01005033585350145,0,0,1,0,0,0,0,0,0
231,Cercopithecidae Cercocebus,Red capped Mangabey,North West Africa,Cameroon,7.5,2,247.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.511006459958388,2.0149030205422647,1,0,1,0,0,1,0,0,0
232,Lemuridae Eulemur,Red collared Brown Lemur,Madagascar,Madagascar,2.14,3,58.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0715875750994845,0.7608058290337602,0,0,0,0,0,1,0,0,0
233,Pitheciidae Plecturocebus,Red crowned Titi,Central America,Ecuador,1.01,0,3.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1939224684724346,0.009950330853168092,0,0,1,0,0,1,0,0,0
234,Cercopithecidae Cercopithecus,Red eared Monkey,North West Africa,Benine,3.4,2,31.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.449987545831587,1.2237754316221157,0,0,1,0,0,1,0,0,0
235,Atelidae Ateles,Red faced Black Spider Monkey,Central America,Surinam,8.28,2,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.541263545158426,2.1138429683971682,0,0,1,0,0,1,0,0,0
236,Lemuridae Eulemur,Red fronted Brown Lemur,Madagascar,Madagascar,2.21,1,22.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0937660138253564,0.7929925155296614,0,0,0,0,0,0,0,0,0
237,Atelidae Alouatta,Red handed Howler,South America,Brazil,6.4,2,7.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9636097261547143,1.8562979903656263,0,0,1,0,0,0,0,0,0
238,Cercopithecidae Pygathrix,Red shanked Douc,South East Asia,Vietnam,9.72,3,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,2.2741856184723477,0,0,1,0,1,0,0,0,0
239,Cercopithecidae Cercopithecus,Red tailed Monkey,East Africa,Kenya,3.24,0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1135153092103742,1.1755733298042381,0,0,1,0,0,1,0,0,0
240,Lepilemuridae Lepilemur,Red tailed Sportive Lemur,Madagascar,Madagascar,0.75,2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2231435513142097,-0.2876820724517809,0,0,0,1,1,0,0,0,0
241,Cercopithecidae Macaca,Rhesus Macaque,South East Asia,India,5.96,0,47.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.865979066926739,1.7850704810772584,1,0,1,0,0,1,0,0,0
242,Lemuridae Lemur,Ring tailed Lemur,Madagascar,Madagascar,2.21,3,25.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2386784521643803,0.7929925155296614,1,0,1,0,0,0,0,0,0
243,Pitheciidae Chiropotes,Rio Negro Beared Saki,South America,Brazil,2.74,0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.955827057601261,1.007957920399979,0,0,1,0,0,1,0,0,0
244,Cercopithecidae Cercopithecus,Roloway Monkey,North West Africa,CÃ´te dÂIvoire,4.55,3,189.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.241747015059643,1.5151272329628591,0,0,1,0,0,0,0,0,1
245,Lemuridae Eulemur,Rufous Brown Lemur,Madagascar,Madagascar,2.01,2,97.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579852378003801,0.6981347220709843,0,0,0,0,0,1,0,0,0
246,Cheirogaleidae Microcebus,Rufous Mouse Lemur,Madagascar,Madagascar,0.04,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2188758248682006,0,0,0,1,0,0,0,0,1
247,Cercopithecidae Presbytis,Sabah Grizzled Langur,South East Asia,Malaysia,5.9,3,90.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.509760001183433,1.7749523509116738,0,0,1,0,0,0,0,0,0
248,Lepilemuridae Lepilemur,Sahafary Sportive Lemur,Madagascar,Madagascar,0.675,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3930425881096072,0,0,0,1,1,0,0,0,0
249,Lepilemuridae Lepilemur,Sahamalaza Sportive Lemur,Madagascar,Madagascar,0.69,4,0.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1743533871447778,-0.37106368139083207,0,0,0,1,1,0,0,0,0
250,Cheirogaleidae Microcebus,Sambirano Mouse Lemur,Madagascar,Madagascar,0.04,3,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823215567939546,-3.2188758248682006,0,0,0,1,0,0,0,0,1
251,Lemuridae Eulemur,Sanford s Brown Lemur,Madagascar,Madagascar,1.85,3,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6390573296152584,0.6151856390902335,0,0,0,0,0,1,0,0,0
252,Cercopithecidae Cercocebus,Sanje River Mangabey,North West Africa,CÃ´te dÂIvoire,8.05,3,240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.480638923341991,2.0856720914304723,1,0,1,0,0,1,0,0,0
253,Cercopithecidae Cercopithecus,Sclater s Monkey,North West Africa,CÃ´te dÂIvoire,3.25,2,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2188758248682006,1.1786549963416462,0,0,1,0,0,1,0,0,0
254,Tarsiidae Tarsius,Selayar Tarsier,South East Asia,Indonesia,0.122,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1037342342488805,0,0,0,1,0,0,0,1,0
255,Cebidae Cebus,Shock headed Capuchin,South America,Colombia,2.85,1,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0106352940962555,1.0473189942805592,0,0,1,0,0,0,0,0,1
256,Hylobatidae Symphalangus,Siamang,South East Asia,Sumatra,11.3,3,17.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8507065015037334,2.424802725718295,0,0,1,0,0,0,0,0,0
257,Cercopithecidae Presbytis,Siberut Langur,South East Asia,Malaysia,6.45,3,16.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8183982582710754,1.864080130807681,0,0,1,0,0,0,0,0,0
258,Cercopithecidae Macaca,Siberut Macaque,South East Asia,Indonesia,6.38,2,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8283137373023015,1.8531680973566984,1,0,1,0,0,1,0,0,0
259,Indriidae Propithecus,Silky Sifaka,Madagascar,Madagascar,6.1,4,38.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6597080768136565,1.8082887711792655,0,0,1,0,0,0,0,0,0
260,Cercopithecidae Trachypithecus,Silvered Langur,South East Asia,Malaysia,6.25,1,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7612001156935624,1.8325814637483102,0,0,1,0,1,0,0,0,0
261,Callitrichidae Mico,Silvery Marmoset,South America,Brazil,0.35,0,10.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3513752571634776,-1.0498221244986778,0,0,1,0,0,0,0,0,1
262,Lepilemuridae Lepilemur,Small toothed Sportive Lemur,Madagascar,Madagascar,0.97,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6931471805599453,-0.030459207484708574,0,0,0,1,0,0,0,0,0
263,Galagidae Galago,Somali Lesser Galago,East Africa,Somalia,0.2,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,-1.6094379124341003,0,0,0,1,0,0,0,0,1
264,Cercopithecidae Cercocebus,Sooty Mangabey,North West Africa,CÃ´te dÂIvoire,8.6,1,500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.214608098422191,2.151762203259462,0,1,1,0,0,1,0,0,0
265,Pitheciidae Callicebus,Southern Bahian Titi,South America,Brazil,1.37,2,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.091042453358316,0.3148107398400336,0,0,1,0,0,1,0,0,0
266,Lemuridae Hapalemur,Southern Bamboo Lemur,Madagascar,Madagascar,1.07,2,13.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5855058483441162,0.06765864847381486,0,0,0,0,1,0,0,0,0
267,Galagidae Galago,Southern Lesser Galago,Madagascar,Madagascar,0.2,0,2.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0296194171811581,-1.6094379124341003,0,0,0,1,0,0,0,0,1
268,Atelidae Brachyteles,Southern Muriqui,South America,Brazil,8.84,3,340.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8289456176102075,2.179286876649552,0,0,1,0,0,0,0,0,0
269,Galagidae Euoticus,Southern Needle clawed Galago,North West Africa,Cameroon,0.27,0,6.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9021075263969205,-1.3093333199837622,0,0,0,1,0,0,1,0,0
270,Cercopithecidae Miopithecus,Southern Talapoin Monkey,West Africa,Angola,1.25,0,311.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.739792912179234,0.22314355131420976,1,0,1,0,0,0,0,0,1
271,Hylobatidae Nomascus,Southern White cheeked Crested Gibbon,South East Asia,Laos,7.25,3,36.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.595118074299462,1.9810014688665833,0,0,1,0,0,1,0,0,0
272,Indriidae Avahi,Southern Woolly Lemur,Madagascar,Madagascar,1.15,3,5.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7439688053917064,0.13976194237515863,0,0,0,1,1,0,0,0,0
273,Hylobatidae Nomascus,Southern Yellow cheeked Crested Gibbon,South East Asia,Sri Lanka,5.2,3,51.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9485477801105184,1.6486586255873816,0,0,1,0,0,1,0,0,0
274,Pitheciidae Cacajao,Spix s Black headed Uacari,South America,Brazil,2.35,2,500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.214608098422191,0.8544153281560676,0,0,1,0,0,1,0,0,0
275,Atelidae Alouatta,Spix s Howler,South America,Brazil,6.37,2,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23410650459726,1.851599469584072,0,0,1,0,0,0,0,0,0
276,Aotidae Aotus,Spix s Night Monkey,South America,Peru,0.7,0,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840549633397487,-0.35667494393873245,0,0,0,1,0,1,0,0,0
277,Callitrichidae Leontocebus,Spix s Saddle back Tamarin,South America,Peru,0.33,0,145.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.976733742420574,-1.1086626245216111,0,0,0,0,0,0,0,0,1
278,Cercopithecidae Cercopithecus,Spot nosed Monkey,North West Africa,CÃ´te dÂIvoire,3.65,0,89.375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.492841001014172,1.2947271675944,0,0,1,0,0,0,0,0,0
279,Cercopithecidae Rhinopithecus,Stryker s Snub nosed Monkey,East Asia,China,11.25,4,2290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.736307096548285,2.4203681286504293,1,0,1,0,1,0,0,0,0
280,Cercopithecidae Macaca,Stump tailed Macaque,South East Asia,India,10.3,2,461.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.134482053942907,2.33214389523559,1,0,1,0,0,0,0,0,0
281,Tarsiidae Tarsius,Sulawesi Mountain Tarsier,South East Asia,Indonesia,0.051,3,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1823215567939546,-2.9759296462578115,0,0,0,1,0,0,0,1,0
282,Hominidae Pongo,Sumatran Orangutan,South East Asia,Sumatra,56.75,4,277.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6240175061873385,4.038655656361512,0,0,1,0,0,1,0,0,0
283,Cercopithecidae Macaca,Sunda Pig tailed Macaque,South East Asia,India,8.89,2,314.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.750347943803522,2.1849270495258133,1,0,1,0,0,1,0,0,0
284,Lorisidae Nycticebus,Sunda Slow Loris,South East Asia,Malaysia,0.65,2,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840549633397487,-0.4307829160924542,0,0,0,1,0,0,0,0,1
285,Cercopithecidae Cercopithecus,Syke s Monkey,East Africa,Kenya,5.28,0,14.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6567569067146595,1.6639260977181702,0,0,1,0,0,0,0,0,0
286,Cercopithecidae Macaca,Taiwanese Macaque,East Asia,China,5.47,0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046,1.6992786164338898,1,0,1,0,0,0,0,0,0
287,Cercopithecidae Cercocebus,Tana River Mangabey,North West Africa,CÃ´te dÂIvoire,7.44,3,59.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.089332020398556,2.0068708488450007,1,0,1,0,0,1,0,0,0
288,Cercopithecidae Piliocolobus,Tana River Red Colobus,East Africa,Kenya,9.0,3,14.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6567569067146595,2.1972245773362196,0,0,1,0,1,0,0,0,0
289,Cercopithecidae Chlorocebus,Tantalus Monkey,North West Africa,Nigeria,4.65,0,66.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.197201947661808,1.536867219599265,0,1,1,0,0,0,0,0,1
290,Galagidae Galagoides,Tanzania Coast Dwarf Galago,East Africa,Kenya,0.14,0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884573603642703,-1.9661128563728327,0,0,0,1,0,0,0,0,1
291,Indriidae Propithecus,Tattersall s Sifaka,Madagascar,Madagascar,3.5,4,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3513752571634776,1.252762968495368,0,0,1,0,0,0,0,0,0
292,Cercopithecidae Piliocolobus,Temminick s Red Colobus,North West Africa,Senegal,5.85,3,22.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.1135153092103742,1.766441661243765,1,0,1,0,1,0,0,0,0
293,Galagidae Otolemur,Thick tailed Greater Galago,South Africa,Zimbabwe,1.15,0,8.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1400661634962708,0.13976194237515863,0,0,0,1,0,0,0,0,1
294,Galagidae Galagoides,Thomas s Dwarf Galago,East Africa,Kenya,0.12,0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47000362924573563,-2.120263536200091,0,0,0,1,0,0,0,0,1
295,Cercopithecidae Presbytis,Thomas s Langur,South East Asia,Malaysia,6.73,2,27.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.311637304949512,1.9065751436566365,0,0,1,0,0,0,0,0,0
296,Cercopithecidae Macaca,Tibetan Macaque,East Asia,China,15.55,1,1106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00850518208228,2.744060638625243,0,1,1,0,0,1,0,0,0
297,Cercopithecidae Macaca,Tonkean Macaque,South East Asia,Indonesia,11.95,2,104.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6515765588022475,2.4807312783775197,1,0,1,0,0,1,0,0,0
298,Cercopithecidae Rhinopithecus,Tonkin Snub nosed Monkey,South East Asia,Vietnam,11.25,4,470.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.152732694704104,2.4203681286504293,0,0,1,0,0,0,0,0,0
299,Cercopithecidae Macaca,Toque Macaque,South East Asia,Sri Lanka,4.48,3,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189654742026425,1.4996230464268938,0,0,1,0,0,1,0,0,0
300,Cercopithecidae Piliocolobus,Udzungwa Red Colobus,East Africa,Tanzania,7.05,3,17.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.863913698933143,1.9530276168241774,0,0,1,0,0,0,0,0,0
301,Cercopithecidae Lophocebus,Ugandan Crested Mangabey,Central Africa,Uganda,6.5,5,155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.043425116919247,1.8718021769015913,0,0,1,0,0,0,0,0,0
302,Cercopithecidae Piliocolobus,Upper Guinea Red Colobus,North West Africa,Sierra Leone,8.25,3,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060443010546419,2.1102132003465894,0,0,1,0,0,0,0,0,0
303,Atelidae Alouatta,Ursine Red Howler,South America,Brazil,6.37,0,7.52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.017566137961748,1.851599469584072,0,0,1,0,1,0,0,0,0
304,Pitheciidae Chiropotes,Uta Hick s Bearded Saki,South America,Brazil,3.0,3,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605170185988092,1.0986122886681098,0,0,1,0,0,1,0,0,0
305,Atelidae Ateles,Variegated Spider Monkey,South America,Colombia,8.6,4,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6888794541139363,2.151762203259462,0,0,1,0,0,0,0,0,0
306,Indriidae Propithecus,Verreaux s Sifaka,Madagascar,Madagascar,2.91,3,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.0681530811834012,0,0,1,0,0,0,0,0,0
307,Cercopithecidae Chlorocebus,Vervet Monkey,South Africa,South Africa,3.63,0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.2188758248682006,1.2892326482767593,0,1,1,0,0,0,0,0,1
308,Cercopithecidae Cercopithecus,Virungas Golden Monkey,West Africa,Congo,6.2,3,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.204692619390966,1.824549292051046,0,0,1,0,1,0,0,0,0
309,Lepilemuridae Lepilemur,Weasel Sportive Lemur,Madagascar,Madagascar,1.0,1,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2039728043259361,0.0,0,0,0,1,1,0,0,0,0
310,Lorisidae Perodicticus,West African Potto,West Africa,Gabon,0.83,0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0149030205422647,-0.18632957819149348,0,0,0,1,0,1,0,0,0
311,Hylobatidae Nomascus,Western Black Crested Gibbon,South East Asia,India,7.69,4,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.465908118654584,2.0399207835175526,0,0,1,0,0,0,0,0,0
312,Callitrichidae Saguinus,Western Black handed Tamarin,South America,Brazil,0.43,2,32.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.481240089335692,-0.843970070294529,0,0,1,0,0,1,0,0,0
313,Hominidae Gorilla,Western Gorilla,West Africa,Angola,122.5,4,1100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.003065458786462,4.808111029984782,1,0,1,0,0,0,0,0,0
314,Hylobatidae Hoolock,Western Hoolock Gibbon,South East Asia,India,6.88,3,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1135153092103742,1.9286186519452522,0,0,1,0,0,1,0,0,0
315,Tarsiidae Cephalopachus,Western Tarsier,South East Asia,Borneo,0.12,2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054651081081644,-2.120263536200091,0,0,0,1,0,0,0,1,0
316,Indriidae Avahi,Western Woolly Lemur,Madagascar,Madagascar,0.8,3,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05129329438755058,-0.2231435513142097,0,0,0,1,1,0,0,0,0
317,Atelidae Ateles,White bellied Spider Monkey,Central America,Ecuador,8.07,3,269.9166666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598113269383329,2.0881534822818573,0,0,1,0,0,1,0,0,0
318,Pitheciidae Cheracebus,White chested Titi,South America,Colombia,1.37,0,14.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.653241964607215,0.3148107398400336,0,0,1,0,0,1,0,0,0
319,Lemuridae Eulemur,White collared Brown Lemur,Madagascar,Madagascar,2.16,4,56.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036891987474015,0.7701082216960737,0,0,0,0,0,1,0,0,0
320,Pitheciidae Cheracebus,White collared Titi,South America,Peru,1.25,0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995732273553991,0.22314355131420976,0,0,1,0,0,1,0,0,0
321,Pitheciidae Plecturocebus,White eared Titi,Central America,Ecuador,0.95,0,100.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.605170185988092,-0.05129329438755058,0,0,1,0,0,1,0,0,0
322,Pitheciidae Pithecia,White faced saki,Central America,Surinam,1.76,0,12.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5257286443082556,0.5653138090500605,0,0,1,0,0,1,0,0,0
323,Lepilemuridae Lepilemur,White footed Sportive Lemur,Madagascar,Madagascar,0.61,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6931471805599453,-0.4942963218147801,0,0,0,1,1,0,0,0,0
324,Callitrichidae Saguinus,White footed Tamarin,South America,Colombia,0.49,3,9.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2213750375685026,-0.7133498878774648,0,0,1,0,0,1,0,0,0
325,Lemuridae Eulemur,White fronted Brown Lemur,Madagascar,Madagascar,2.18,3,13.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5726122302071057,0.7793248768009977,0,0,0,0,0,1,0,0,0
326,Cercopithecidae Presbytis,White fronted Langur,South East Asia,Indonesia,5.61,2,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,1.724550719534605,0,0,1,0,1,0,0,0,0
327,Cercopithecidae Trachypithecus,White headed Langur,East Asia,China,8.285,4,29.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.370738174177447,2.1144466508785262,1,0,1,0,1,0,0,0,0
328,Cercopithecidae Cercocebus,White naped Mangabey,North West Africa,CÃ´te dÂIvoire,7.28,3,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,1.9851308622085946,0,1,1,0,0,1,0,0,0
329,Pitheciidae Chiropotes,White nosed Bearded Saki,South America,Brazil,2.82,3,210.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3471075307174685,1.0367368849500223,0,0,1,0,0,1,0,0,0
330,Cercopithecidae Colobus,White thighed Colobus,North West Africa,Ghana,7.68,2,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.871201010907891,2.038619547159581,0,0,1,0,1,0,0,0,0
331,Callitrichidae Callithrix,Wied s Black tufted ear Marmoset,South America,Brazil,0.38,1,38.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6609942506244004,-0.9675840262617056,0,0,1,0,0,0,0,0,1
332,Cercopithecidae Papio,Yellow Baboon,South Africa,Zimbabwe,17.05,0,900.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.802394763324311,2.8361502037295256,0,1,1,0,0,0,0,0,1
333,Cebidae Sapajus,Yellow breasted Capuchin,South America,Brazil,2.875,4,969.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.876264611890766,1.0560526742493137,0,0,1,0,0,0,0,0,1
334,Pitheciidae Cheracebus,Yellow handed Titi,South America,Colombia,1.5,0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.995732273553991,0.4054651081081644,0,0,1,0,0,1,0,0,0
335,Cercopithecidae Rhinopithecus,Yunnan Snub nosed Monkey,East Asia,China,12.48,3,2525.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83399634170946,2.5241273629412815,1,0,1,0,1,0,0,0,0
336,Cercopithecidae Piliocolobus,Zanzibar Red Colobus,East Africa,Tanzania,6.9,3,19.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.9444389791664403,1.9315214116032138,0,0,1,0,0,0,0,0,0
