,Scientific Names,CommonName,Region,Country,Average_Weight,Status,HomeRange_ha,Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky_areas,Habitat_Desert,Home_Range_log,AverageWeight_log,Locomotion_BOTH,Locomotion_T,DielActivity_D,DielActivity_N,TrophicGuild_Folivore,TrophicGuild_Frugivore,TrophicGuild_Gummivore,TrophicGuild_Insectivore,TrophicGuild_Omnivore
143,Cercopithecidae Macaca,Japanese Macaque,East Asia,Japan,9.5,0,23.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175968323856924,2.2512917986064953,1,0,1,0,0,0,0,0,0
144,Cercopithecidae Presbytis,Javan Langur,South East Asia,Indonesia,6.7,3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.9021075263969205,0,0,1,0,1,0,0,0,0
145,Lorisidae Nycticebus,Javan Slow Loris,South East Asia,Java,0.66,4,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0149030205422647,-0.4155154439616658,0,0,0,1,0,0,1,0,0
146,Cebidae Cebus,Ka apor Capuchin,South America,Brazil,2.7,4,62.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133565275375382,0.9932517730102834,0,0,1,0,0,0,0,0,1
147,Galagidae Galagoides,Kenya Coast Dwarf Galago,East Africa,Kenya,0.14,0,1.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678293725756554,-1.9661128563728327,0,0,0,1,0,0,0,0,1
148,Cercopithecidae Colobus,King Colobus,North West Africa,Cameroon,9.1,2,40.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7013019741124933,2.2082744135228043,0,0,1,0,1,0,0,0,0
149,Cercopithecidae Rungwecebus,Kipunji,East Africa,Tanzania,10.0,4,306.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7242384832235835,2.302585092994046,0,0,1,0,0,0,0,0,1
150,Hylobatidae Hylobates,Kloss s Gibbon,South East Asia,Indonesia,5.8,3,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505557396986398,1.7578579175523736,0,0,1,0,0,1,0,0,0
151,Cercopithecidae Allochrocebus,L Hoest s Monkey,West Africa,Congo,5.0,2,116.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.758749273916392,1.6094379124341003,0,1,1,0,0,0,0,0,1
152,Lemuridae Hapalemur,Lac Alaotra Bamboo Lemur,Madagascar,Madagascar,1.24,4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6931471805599453,0.2151113796169455,0,0,0,0,1,0,0,0,0
153,Hylobatidae Hylobates,Lar Gibbon,South East Asia,Indonesia,5.64,3,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007333185232471,1.7298840655099674,0,0,1,0,0,1,0,0,0
154,Cebidae Sapajus,Large headed Capuchin,South America,Brazil,3.05,0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174387269895637,1.1151415906193203,0,0,1,0,0,0,0,0,1
155,Aotidae Aotus,Lemurine Night Monkey,South America,Colombia,0.89,2,4.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4701758451005926,-0.11653381625595151,0,0,0,1,0,0,0,0,1
156,Cercopithecidae Macaca,Lion tailed Macaque,South East Asia,India,7.5,3,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8283137373023015,2.0149030205422647,0,0,1,0,0,1,0,0,0
157,Cercopithecidae Macaca,Long tailed Macaque,South East Asia,Indonesia,4.03,0,157.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.056245805348308,1.3937663759585917,1,0,1,0,0,1,0,0,0
158,Cercopithecidae Cercopithecus,Lowe s Monkey,West Africa,Congo,3.9,0,14.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6741486494265287,1.3609765531356006,0,0,1,0,0,1,0,0,0
159,Aotidae Aotus,Ma s Night Monkey,South America,Brazil,0.79,2,9.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2192034840549946,-0.23572233352106983,0,0,0,1,0,1,0,0,0
